video_id,title,publishedAt,duration,hours,minutes,seconds,total_seconds
MC-7ziNt_U4,Project Zomboid let's play ep. [02] Just some chores.,2013-06-15T19:54:37Z,PT14M20S,0,14,20,860
PNsF1Uh5yP8,Project Zomboid Lets Play ep [01] Roughing it out!,2013-06-15T00:03:38Z,PT19M54S,0,19,54,1194
9Y2sAtN5yRs,Gunpowder plus mod! (Grenade mod) Epic explosions for minecraft.,2013-04-21T18:04:39Z,PT2M38S,0,2,38,158
-z349CGAOXs,Horse racing map for new update! (minecraft),2013-04-21T16:37:08Z,PT1M28S,0,1,28,88
pl4xmh3RWfE,Amazing minecraft Cathedral!,2013-04-21T01:36:32Z,PT58S,0,0,58,58
6z5RwrvnH28,Huge WW2 jeep! Minecraft creations.,2013-04-21T00:52:21Z,PT1M4S,0,1,4,64
ivdQqobHDPc,Story time!,2013-04-18T01:54:48Z,PT3M13S,0,3,13,193
uUIlb2rpIuY,Epic Minecraft city! (w/ download link!),2013-04-11T01:00:01Z,PT2M34S,0,2,34,154
Ros1PpcO5Js,Pokemon online battle #9 [rb] Hidden power ice ftw!,2013-04-07T00:03:02Z,PT5M19S,0,5,19,319
KYv1nqutbK0,Pokemon online battle #8 Stone edge,2013-04-05T01:21:12Z,PT5M27S,0,5,27,327
7Yi-ctyTNU4,Online pokemon battle #7 [uu] 5-0,2013-04-04T01:43:46Z,PT4M21S,0,4,21,261
VN2-3OfUzd8,Magic karp sweeps whole team of LEGENDARIES!!!,2013-04-01T23:26:03Z,PT3M35S,0,3,35,215
-2IFrMOM36w,Pokemon online battles #5 [uu] Heracross never seems to dissapoint me...,2013-03-31T20:49:28Z,PT4M28S,0,4,28,268
7dIFHQkrASM,This is a detailed break down of my favorite UU team... ENJOY!,2013-03-29T23:14:45Z,PT9M24S,0,9,24,564
QicO1Gd0kvU,Pokemon online battle #4 [uu] Same old team,2013-03-28T17:22:43Z,PT4M39S,0,4,39,279
yFfcsmK2TOA,Online pokemon battle #3 [uu] Ice punch,2013-03-27T19:57:08Z,PT3M25S,0,3,25,205
Jl0-6tbNGBo,Pokemon online battle #2 [uu] Herracross w/ Dat MOXIE BOOST,2013-03-26T16:58:32Z,PT2M49S,0,2,49,169
IAbX0FwX-GY,Why I Haven't Been Uploading,2013-03-25T20:10:38Z,PT6M3S,0,6,3,363
XKSJRulqDNA,Most Epic Thing In Minecraft!?!?!?!?!?!!?????,2013-03-10T22:19:14Z,PT4M33S,0,4,33,273
jysfHFHNjYQ,Epic minecraft apartment complex!,2013-01-27T18:25:46Z,PT53S,0,0,53,53
Yox25V8Qsm4,Crazy Illulsions In Minecraft. (Bigre),2013-01-27T02:11:30Z,PT2M35S,0,2,35,155
clcN3OA8SNw,Best Minecraft Castle Ever?,2013-01-27T01:52:40Z,PT3M42S,0,3,42,222
m3lTwO0aNyw,How to get unlimited diamonds! minecraft (x-ray),2013-01-26T19:34:43Z,PT2M14S,0,2,14,134
gchqnwXlxJw,Drinks in minecraft (mod),2013-01-26T16:26:34Z,PT43S,0,0,43,43
atCPtw4dg7g,Emerald tool mod! (minecraft),2013-01-23T22:34:58Z,PT49S,0,0,49,49
t8aM4HuVLrQ,This is a block? Since when lol.,2013-01-21T22:30:09Z,PT52S,0,0,52,52
M82VAcabSiA,Scary minecraft pig skin!,2013-01-13T16:53:17Z,PT29S,0,0,29,29
7qj3nuF9Dzw,Most Epic minecraft skin EVER  (Psy),2013-01-13T01:59:21Z,PT31S,0,0,31,31
Y74b7WlcEpk,More birds IN MINECRAFT!!,2013-01-12T23:35:45Z,PT2M6S,0,2,6,126
Z8nEEdXTaX0,Boxy item mod Minecraft.  EPIC,2013-01-12T22:34:11Z,PT1M30S,0,1,30,90
jP82d277Cc8,Harry Potter Mod In Minecraft! EPIC MUST SEE MOD!!!,2012-03-09T23:29:03Z,PT3M59S,0,3,59,239
2XVcLrB7B3Y,Worst Minecraft Saw Trap Ever???,2012-02-20T22:42:32Z,PT2M37S,0,2,37,157
